TF	Target	importance
AT3G15500	AT3G62150	
AT3G50260	AT2G28570	
AT2G43000	AT3G48850	
AT3G12820	AT5G02780	
AT2G43000	AT1G69790	
AT1G28470	AT1G59500	
AT4G04890	AT3G08770	
AT2G38340	AT3G18250	
AT3G15500	AT2G30770	
AT1G18570	AT4G28350	
AT1G18570	AT3G01970	
AT3G23250	AT1G02520	
AT2G43000	AT1G76070	
AT1G32870	AT2G36790	
AT1G28470	AT2G17050	
AT2G21900	AT4G11170	
AT1G28470	AT1G02530	
AT2G43000	AT1G66700	
AT3G50260	AT4G37390	
AT2G24430	AT5G22270	
AT5G28770	AT1G28330	
AT2G38340	AT4G18990	
AT4G04890	AT5G22500	
AT1G28470	AT5G46180	
AT1G18570	AT2G39400	
AT3G23250	AT3G47730	
AT3G01970	AT1G02520	
AT3G50260	AT3G55270	
AT1G28470	AT3G62150	
AT3G23250	AT4G18250	
AT3G23250	AT2G38860	
AT3G23250	AT4G37900	
AT4G04890	AT5G63560	
AT1G28470	AT5G60710	
AT2G24430	AT1G27950	
AT2G24430	AT5G63560	
AT3G15500	AT1G57990	
AT3G15500	AT3G04630	
AT2G43000	AT3G19580	
AT3G23250	AT1G68450	
AT2G22540	AT4G38580	
AT1G28470	AT1G29670	
AT3G15500	AT1G69790	
AT2G30250	AT2G18690	
AT2G46400	AT1G32960	
AT5G18270	AT5G54730	
AT2G22540	AT1G55260	
AT3G15500	AT2G43000	
AT2G43000	AT4G01010	
AT1G33420	AT4G15630	
AT5G10510	AT3G08760	
AT1G74840	AT5G24490	
AT2G43000	AT5G57220	
AT2G43000	AT1G42990	
AT4G18880	AT5G25930	
AT2G47260	AT5G59530	
AT2G21900	AT1G66090	
AT4G18880	AT3G48020	
AT3G15500	AT2G26400	
AT3G15500	AT2G21900	
AT1G34180	AT5G07390	
AT1G34180	AT5G48410	
AT2G30250	AT5G25930	
AT2G43000	AT2G01300	
AT2G21900	AT1G23710	
AT3G15500	AT5G57510	
AT2G38470	AT4G33050	
AT2G38340	AT3G10930	
AT3G15500	AT4G30790	
AT3G15500	AT2G29350	
AT2G38470	AT2G30250	
AT2G24430	AT1G01190	
AT3G15500	AT5G38910	
AT3G01970	AT1G23710	
AT1G34180	AT4G14060	
AT1G28470	AT4G24510	
AT1G28470	AT2G38860	
AT3G23250	AT3G48020	
AT2G24430	AT1G28470	
AT3G50260	AT2G30250	
AT2G38340	AT3G15500	
AT2G38470	AT5G25930	
AT3G15500	AT1G32940	
AT3G01970	AT1G68450	
AT3G23250	AT1G13340	
AT1G32870	AT2G36800	
AT3G23250	AT5G48400	
AT1G01060	AT3G24170	
AT2G21900	AT1G63750	
AT1G28470	AT3G48020	
AT3G01970	AT1G02530	
AT3G15500	AT1G01190	
AT3G15500	AT4G12280	
AT3G23250	AT1G67800	
AT3G15500	AT3G14770	
AT3G50260	AT3G19580	
AT3G23250	AT1G08050	
AT3G23250	AT5G25260	
AT2G24430	AT2G42840	
AT2G21900	AT1G26380	
AT1G34180	AT5G64000	
AT2G43000	AT4G04990	
AT2G22540	AT5G02790	
AT2G43000	AT4G26120	
AT3G15500	AT2G29220	
AT2G24430	AT2G39400	
AT3G23250	AT3G57880	
AT2G24430	AT4G29020	
AT3G15500	AT4G21620	
AT2G43000	AT4G11170	
AT3G15500	AT4G18990	
AT2G21900	AT1G76700	
AT2G38470	AT5G27420	
AT4G04890	AT1G06360	
AT3G15500	AT4G28460	
AT1G42990	AT1G02530	
AT2G38340	AT1G57650	
AT3G50260	AT4G29020	
AT2G21900	AT1G70810	
AT2G43000	AT2G38340	
AT2G43000	AT5G25930	
AT2G43000	AT1G07000	
AT1G34180	AT2G42840	
AT3G15500	AT2G29250	
AT3G15500	AT1G55020	
AT3G23250	AT1G33030	
AT3G15500	AT1G26410	
AT3G23250	AT1G74590	
AT1G18570	AT1G68450	
AT5G13080	AT2G30250	
AT2G22540	AT4G23700	
AT3G23250	AT5G41750	
AT2G38340	AT1G69790	
AT1G18570	AT1G02520	
AT3G15500	AT1G32960	
AT2G43000	AT1G74360	
AT2G43000	AT3G14770	
AT1G28470	AT2G47000	
AT2G38340	AT5G57510	
AT2G43000	AT2G45550	
AT3G23250	AT4G26120	
AT4G04890	AT5G25610	
AT3G15500	AT4G26200	
AT1G34180	AT4G25960	
AT3G15500	AT5G22270	
AT2G24430	AT1G28010	
AT2G24430	AT1G06360	
AT3G09600	AT1G01060	
AT2G21900	AT3G03670	
AT2G46400	AT1G26410	
AT2G33480	AT1G28190	
AT3G15500	AT1G68450	
AT2G33480	AT5G64000	
AT2G38470	AT1G18570	
AT2G21900	AT5G67340	
AT3G23250	AT5G25250	
AT1G28470	AT5G25930	
AT1G27730	AT1G25400	
AT2G24430	AT1G55020	
AT1G28470	AT4G25960	
AT4G18880	AT1G51500	
AT3G15500	AT1G02310	
AT2G43000	AT1G26410	
AT1G34180	AT5G12330	
AT2G43000	AT4G09100	
AT2G43000	AT1G03660	
AT3G15500	AT1G18570	
AT2G43000	AT3G25610	
AT3G15500	AT1G57650	
AT2G43000	AT4G21380	
AT2G30250	AT1G76070	
AT3G15500	AT1G44130	
AT2G21900	AT1G35210	
AT2G30250	AT5G06740	
AT3G15500	AT1G05060	
AT1G18570	AT5G41750	
AT2G43000	AT2G02000	
AT2G30250	AT1G23710	
AT2G43000	AT3G63380	
AT3G15500	AT1G28010	
AT2G24430	AT3G16370	
AT2G22540	AT4G20230	
AT1G28470	AT1G33030	
AT2G43000	AT4G18250	
AT3G50260	AT1G05340	
AT2G43000	AT2G35730	
AT1G28470	AT1G03660	
AT2G43000	AT1G19020	
AT5G18270	AT3G25610	
AT2G33480	AT4G15630	
AT3G15500	AT1G05880	
AT2G43000	AT4G37370	
AT2G43000	AT1G55020	
AT3G15500	AT3G03870	
AT3G12720	AT2G28660	
AT4G18880	AT1G29670	
AT3G15500	AT1G05340	
AT2G21900	AT1G26410	
AT2G33480	AT3G48020	
AT2G21900	AT1G02530	
AT2G30250	AT1G70810	
AT2G21900	AT5G38900	
AT2G21900	AT4G37900	
AT2G21900	AT1G02520	
AT2G33480	AT5G25610	
AT3G15500	AT5G39110	
AT3G01970	AT1G26410	
AT3G15500	AT5G11210	
AT3G50260	AT5G27420	
AT2G24430	AT4G14060	
AT2G21900	AT5G42830	
AT2G43000	AT2G47000	
AT2G43000	AT3G59080	
AT1G18570	AT5G42830	
AT2G38340	AT5G05190	
AT2G30250	AT5G57220	
AT1G28470	AT5G61560	
AT2G24430	AT4G37900	
AT3G15500	AT5G06730	
AT3G01970	AT5G67340	
AT3G15500	AT5G67340	
AT1G28470	AT1G02520	
AT3G23250	AT5G67340	
AT2G30250	AT1G76700	
AT1G28470	AT5G26920	
AT3G23250	AT3G44720	
AT1G42990	AT1G76600	
AT3G15500	AT4G23180	
AT1G42990	AT1G02520	
AT3G23250	AT1G02530	
AT2G43000	AT5G42380	
AT3G23250	AT3G03670	
AT2G43000	AT3G15500	
AT2G30250	AT4G33050	
AT2G43000	AT2G26560	
AT3G15500	AT1G33030	
AT2G30250	AT3G19580	
AT2G43000	AT2G30750	
AT3G01970	AT1G76070	
AT3G50260	AT5G08240	
AT3G01970	AT4G21620	
AT3G01970	AT1G32230	
AT3G15500	AT1G26380	
AT2G24430	AT5G22500	
AT3G15500	AT3G28510	
AT3G15500	AT4G21380	
AT1G18570	AT1G02530	
AT2G38340	AT5G42380	
AT2G22540	AT3G26580	
AT2G43000	AT1G02530	
AT3G15500	AT1G48260	
AT1G18570	AT5G35735	
AT2G43000	AT1G05060	
AT1G74840	AT1G80920	
AT1G18570	AT3G59080	
AT2G33480	AT3G19580	
AT2G43000	AT3G44720	
AT3G50260	AT4G21620	
AT2G43000	AT2G38860	
AT4G04890	AT3G13380	
AT3G15500	AT1G61820	
AT2G38340	AT2G32210	
AT1G28470	AT1G55020	
AT3G50260	AT1G28380	
AT1G06160	AT5G06570	
AT2G30250	AT1G18570	
AT3G15500	AT3G01650	
AT2G43000	AT3G62150	
AT2G43000	AT1G18570	
AT2G21900	AT4G26200	
AT2G43000	AT2G43510	
AT2G46830	AT1G01060	
AT2G43000	AT5G26920	
AT1G28470	AT3G19580	
AT2G43000	AT4G19980	
AT3G50260	AT5G39580	
AT1G74840	AT2G15890	
AT2G43000	AT1G72900	
AT1G18570	AT1G74360	
AT2G43000	AT1G26380	
AT2G24430	AT4G25960	
